Unnamed: 0,carat,cut,color,clarity,average us salary,number of diamonds mined (millions),depth,table,price,x,y,z
35.0,0.23,very good,d,vs1,34453.0,1.3,61.9,58.0,402.0,3.92,3.96,2.44
36.0,0.23,good,f,vs1,45958.0,5.15,61.75,59.0,402.0,4.06,4.08,2.37
37.0,0.23,good,e,vs1,37501.0,0.91,64.1,59.0,402.0,3.83,3.85,2.46
38.0,0.31,good,h,si1,30094.0,1.48,64.0,54.0,402.0,4.29,4.31,2.75
39.0,0.26,very good,d,vs2,37881.0,3.66,60.8,59.0,403.0,4.13,4.16,2.52
40.0,0.33,ideal,i,si2,33556.0,2.65,61.8,55.0,403.0,4.49,4.51,2.78
41.0,0.33,ideal,i,si2,40796.0,1.48,61.2,56.0,403.0,4.49,4.5,2.75
42.0,0.33,ideal,j,si1,41465.0,1.16,61.1,56.0,403.0,4.49,4.55,2.76
43.0,0.26,good,d,vs2,37441.0,3.96,61.75,56.0,403.0,3.99,4.02,2.61
44.0,0.26,good,d,vs1,33482.0,2.41,61.75,63.0,403.0,4.19,4.24,2.46
45.0,0.32,good,h,si2,35158.0,4.89,63.1,56.0,403.0,4.34,4.37,2.75
46.0,0.8,premium,g,si1,31322.0,1.45,61.75,58.0,3933.02,4.24,4.26,3.54
47.0,0.32,very good,h,si2,46599.0,4.39,61.8,55.0,403.0,4.35,4.42,2.71
48.0,0.32,good,h,si2,46767.0,2.19,63.8,56.0,403.0,4.36,4.38,2.79
49.0,0.25,very good,e,vs2,44731.0,2.03,63.3,60.0,404.0,4.0,4.03,2.54
50.0,0.29,very good,h,si2,38030.0,0.62,60.7,60.0,404.0,4.33,4.37,2.64
51.0,0.8,ideal,g,si1,36709.0,3.74,61.75,61.0,404.0,5.73,4.03,2.45
52.0,0.23,ideal,g,vs1,43650.0,4.46,61.9,54.0,404.0,3.93,3.95,2.44
53.0,0.32,ideal,i,si1,46568.0,1.73,60.9,55.0,404.0,4.45,4.48,2.72
54.0,0.22,premium,e,vs2,39023.0,2.94,61.6,58.0,404.0,3.93,3.89,2.41
55.0,0.22,premium,d,vs2,31333.0,3.17,59.3,62.0,404.0,3.91,3.88,2.31
56.0,0.3,ideal,i,si2,41467.0,5.19,61.0,59.0,405.0,4.3,4.33,2.63
57.0,0.3,premium,j,si2,42722.0,3.99,59.3,61.0,405.0,4.43,4.38,2.61
58.0,0.3,very good,i,si1,30300.0,4.38,62.6,57.0,405.0,4.25,4.28,2.67
59.0,0.3,very good,i,si1,30219.0,3.02,63.0,57.0,405.0,4.28,4.32,2.71
60.0,0.3,good,i,si1,33675.0,1.05,63.2,55.0,405.0,4.25,4.29,2.7
61.0,0.35,ideal,i,vs1,38683.0,2.49,60.9,57.0,552.0,4.54,4.59,2.78
26979.73,0.8,premium,g,si1,32760.0,1.23,61.75,59.0,552.0,4.23,4.27,3.54
63.0,0.3,ideal,d,si1,45172.0,1.79,62.5,57.0,552.0,4.29,4.32,2.69
64.0,0.3,ideal,d,si1,42221.0,4.54,62.1,56.0,552.0,4.3,4.33,2.68
65.0,0.42,premium,i,si2,30375.0,2.27,61.5,59.0,552.0,4.78,4.84,2.96
66.0,0.28,ideal,g,vvs2,39784.0,0.84,61.4,56.0,553.0,4.19,4.22,2.58
67.0,0.32,ideal,i,vvs1,44905.0,5.2,62.0,55.3,553.0,4.39,4.42,2.73
68.0,0.31,very good,g,si1,32809.0,1.99,63.3,57.0,553.0,4.33,4.3,2.73
69.0,0.31,premium,g,si1,31991.0,4.45,61.8,58.0,553.0,4.35,4.32,2.68
70.0,0.24,premium,e,vvs1,45582.0,0.68,60.7,58.0,553.0,4.01,4.03,2.44
26979.73,0.8,ideal,g,vvs1,47906.0,1.38,61.75,57.46,3933.02,5.73,5.73,3.54
72.0,0.3,very good,h,si1,35810.0,2.86,63.1,56.0,554.0,4.29,4.27,2.7
73.0,0.3,premium,h,si1,41283.0,1.37,62.9,59.0,554.0,4.28,4.24,2.68
74.0,0.3,premium,h,si1,35229.0,4.88,62.5,57.0,554.0,4.29,4.25,2.67
75.0,0.3,good,h,si1,34411.0,3.7,63.7,57.0,554.0,4.28,4.26,2.72
76.0,0.26,very good,f,vvs2,37538.0,1.9,59.2,60.0,554.0,4.19,4.22,2.49
77.0,0.26,very good,e,vvs2,42860.0,2.72,59.9,58.0,554.0,4.15,4.23,2.51
78.0,0.26,very good,d,vvs2,36495.0,3.98,62.4,54.0,554.0,4.08,4.13,2.56
79.0,0.26,very good,d,vvs2,38393.0,1.61,62.8,60.0,554.0,4.01,4.05,2.53
80.0,0.26,very good,e,vvs1,48275.0,4.74,62.6,59.0,554.0,4.06,4.09,2.55
81.0,0.26,very good,e,vvs1,39512.0,1.11,63.4,59.0,554.0,4.0,4.04,2.55
82.0,0.26,very good,d,vvs1,40066.0,0.73,62.1,60.0,554.0,4.03,4.12,2.53
83.0,0.26,ideal,e,vvs2,31062.0,4.83,62.9,58.0,554.0,4.02,4.06,2.54
84.0,0.38,ideal,i,si2,45422.0,2.14,61.6,56.0,554.0,4.65,4.67,2.87
85.0,0.26,good,e,vvs1,40723.0,2.11,61.75,60.0,554.0,4.22,4.25,2.45
86.0,0.24,premium,g,vvs1,41052.0,2.2,62.3,59.0,554.0,3.95,3.92,2.45
87.0,0.24,premium,h,vvs1,43586.0,2.68,61.2,58.0,554.0,4.01,3.96,2.44
88.0,0.24,premium,h,vvs1,31907.0,4.21,60.8,59.0,554.0,4.02,4.0,2.44
89.0,0.24,premium,h,vvs2,42699.0,3.83,60.7,58.0,554.0,4.07,4.04,2.46
90.0,0.32,premium,i,si1,35052.0,3.19,62.9,58.0,554.0,4.35,4.33,2.73
91.0,0.7,ideal,e,si1,39171.0,1.81,62.5,57.0,2757.0,5.7,5.72,3.57
92.0,0.86,fair,e,si2,35889.0,4.08,61.75,57.46,2757.0,6.45,6.33,3.52
93.0,0.7,ideal,g,vs2,47587.0,4.4,61.6,56.0,2757.0,5.7,5.67,3.5
94.0,0.71,very good,e,vs2,43614.0,1.5,62.4,57.0,2759.0,5.68,5.73,3.56
95.0,0.78,very good,g,si2,47881.0,2.54,63.8,56.0,2759.0,5.81,5.85,3.72
96.0,0.7,good,e,vs2,39791.0,0.96,61.75,58.0,2759.0,5.85,5.9,3.38
97.0,0.7,good,f,vs1,40460.0,2.47,59.4,62.0,2759.0,5.71,5.76,3.4
26979.73,0.8,fair,f,si1,45321.0,3.92,61.75,57.46,2759.0,5.73,5.73,3.54
99.0,0.8,ideal,e,si1,32659.0,4.89,61.6,59.0,3933.02,5.77,5.73,3.56
100.0,0.8,premium,h,si1,31878.0,1.03,61.5,58.0,2760.0,5.97,5.93,3.66
101.0,0.75,very good,d,si1,32436.0,1.75,63.2,56.0,2760.0,5.8,5.75,3.65
102.0,0.75,premium,e,si1,39602.0,3.87,59.9,54.0,2760.0,6.0,5.96,3.58
103.0,0.74,ideal,g,si1,47924.0,4.83,61.6,55.0,2760.0,5.8,5.85,3.59
104.0,0.75,premium,g,vs2,48430.0,2.79,61.7,58.0,2760.0,5.85,5.79,3.59
105.0,0.8,ideal,i,vs1,47639.0,2.55,62.9,56.0,2760.0,5.94,5.87,3.72
106.0,0.75,ideal,g,si1,35977.0,2.88,62.2,55.0,2760.0,5.87,5.8,3.63
107.0,0.8,premium,g,si1,31419.0,0.79,63.0,59.0,2760.0,5.9,5.81,3.69
108.0,0.74,ideal,i,vvs2,32084.0,1.88,62.3,55.0,2761.0,5.77,5.81,3.61
109.0,0.81,ideal,f,si2,48489.0,1.57,61.75,57.0,2761.0,6.14,6.11,3.6
110.0,0.59,ideal,e,vvs2,47527.0,4.03,62.0,55.0,2761.0,5.38,5.43,3.35
111.0,0.8,ideal,f,si2,42135.0,2.34,61.4,57.0,2761.0,5.96,6.0,3.67
112.0,0.74,ideal,e,si2,44294.0,1.23,62.2,56.0,2761.0,5.8,5.84,3.62
113.0,0.9,premium,i,vs2,31174.0,3.29,63.0,58.0,2761.0,6.16,6.12,3.87
114.0,0.74,very good,g,si1,47612.0,0.95,62.2,59.0,2762.0,5.73,5.82,3.59
115.0,0.73,ideal,f,vs2,41048.0,1.51,62.6,56.0,2762.0,5.77,5.74,3.6
116.0,0.8,ideal,f,vs2,38446.0,5.17,62.7,57.46,2762.0,5.73,5.75,3.62
117.0,0.8,premium,f,si2,42796.0,4.8,61.7,58.0,2762.0,5.98,5.94,3.68
118.0,0.8,ideal,g,si1,44218.0,4.32,62.4,54.0,3933.02,5.73,5.73,3.58
119.0,0.7,ideal,e,vs2,32078.0,0.98,60.7,58.0,2762.0,5.73,5.76,3.49
120.0,0.8,ideal,f,si2,42551.0,1.47,59.9,59.0,2762.0,6.01,6.07,3.62
121.0,0.71,ideal,d,si2,46924.0,3.58,62.3,56.0,2762.0,5.73,5.69,3.56
26979.73,0.8,ideal,g,si1,36408.0,3.28,61.75,54.0,2762.0,5.73,5.83,3.54
123.0,0.7,very good,f,vs2,39991.0,1.11,61.7,63.0,2762.0,5.64,5.61,3.47
124.0,0.7,fair,f,vs2,33153.0,1.82,64.5,57.0,2762.0,5.57,5.53,3.58
125.0,0.7,fair,f,vs2,33144.0,3.24,61.75,55.0,2762.0,5.63,5.58,3.66
126.0,0.7,premium,f,vs2,31183.0,5.12,61.6,60.0,2762.0,5.65,5.59,3.46
127.0,0.91,premium,h,si1,37128.0,2.74,61.4,56.0,2763.0,6.09,5.97,3.7
128.0,0.61,very good,d,vvs2,48069.0,0.78,59.6,57.0,2763.0,5.56,5.58,3.32
129.0,0.91,fair,h,si2,31218.0,4.52,64.4,57.0,2763.0,6.11,6.09,3.93
130.0,0.8,ideal,h,si2,45569.0,1.02,61.75,60.0,3933.02,5.73,5.99,3.95
26979.73,0.8,ideal,g,vs2,34521.0,3.44,62.0,56.0,2763.0,5.73,5.86,3.54
132.0,0.71,very good,d,si1,39122.0,1.92,63.6,58.0,2764.0,5.64,5.68,3.6
133.0,0.71,ideal,d,si1,46186.0,2.77,61.9,59.0,2764.0,5.69,5.72,3.53
134.0,0.7,very good,e,vs2,30213.0,3.96,62.6,60.0,2765.0,5.62,5.65,3.53
135.0,0.77,very good,h,vs1,36062.0,3.21,61.3,60.0,2765.0,5.88,5.9,3.61
136.0,0.63,ideal,g,vvs1,40910.0,1.3,61.75,57.46,2765.0,5.52,5.55,3.54
137.0,0.71,very good,f,vs1,32796.0,4.4,60.1,62.0,2765.0,5.74,5.77,3.46
138.0,0.71,premium,f,vs1,38025.0,4.0,61.8,59.0,2765.0,5.69,5.73,3.53
139.0,0.76,ideal,h,si1,33544.0,3.48,61.2,57.0,2765.0,5.88,5.91,3.61
140.0,0.64,ideal,g,vvs1,44745.0,1.1,61.9,56.0,2766.0,5.53,5.56,3.43
141.0,0.71,premium,g,vs2,38329.0,4.9,60.9,57.0,2766.0,5.78,5.75,3.51
142.0,0.71,premium,g,vs2,35061.0,2.53,59.8,56.0,2766.0,5.89,5.81,3.5
143.0,0.7,very good,d,vs2,32451.0,2.97,61.8,55.0,2767.0,5.68,5.72,3.52
144.0,0.7,very good,f,vs1,43993.0,3.85,60.0,57.0,2767.0,5.8,5.87,3.5
145.0,0.71,ideal,d,si2,36469.0,0.75,61.6,55.0,2767.0,5.74,5.76,3.54
146.0,0.7,good,h,vvs2,40755.0,1.55,62.1,57.46,2767.0,5.62,5.65,3.5
147.0,0.71,very good,g,vs1,37323.0,3.59,63.3,59.0,2768.0,5.52,5.61,3.52
148.0,0.73,very good,d,si1,36604.0,4.28,60.2,56.0,2768.0,5.83,5.87,3.52
149.0,0.7,very good,d,si1,39046.0,0.69,61.1,58.0,2768.0,5.66,5.73,3.48
150.0,0.7,ideal,e,si1,40592.0,4.55,60.9,57.0,2768.0,5.73,5.76,3.5
151.0,0.71,premium,d,si2,34043.0,1.94,61.7,59.0,2768.0,5.71,5.67,3.51
152.0,0.74,ideal,i,si1,38648.0,0.87,61.3,56.0,2769.0,5.82,5.86,3.57
153.0,0.71,premium,d,vs2,36611.0,2.29,62.5,60.0,2770.0,5.65,5.61,3.52
154.0,0.73,premium,g,vs2,31520.0,3.85,61.4,59.0,2770.0,5.83,5.76,3.56
155.0,0.76,very good,f,si1,43118.0,1.84,62.9,57.0,2770.0,5.79,5.81,3.65
156.0,0.76,ideal,d,si2,32318.0,5.11,62.4,57.0,2770.0,5.78,5.83,3.62
157.0,0.71,ideal,f,si1,45798.0,1.67,60.7,56.0,2770.0,5.77,5.8,3.51
158.0,0.73,premium,g,vs2,30741.0,1.28,60.7,58.0,2770.0,5.87,5.82,3.55
159.0,0.73,premium,g,vs1,46450.0,3.5,61.5,58.0,2770.0,5.79,5.75,3.55
160.0,0.73,ideal,d,si2,32042.0,4.54,59.9,57.0,2770.0,5.92,5.89,3.54
161.0,0.73,premium,g,vs2,39268.0,3.22,59.2,59.0,2770.0,5.92,5.87,3.49
162.0,0.72,very good,h,vvs2,34786.0,2.9,60.3,56.0,2771.0,5.81,5.83,3.51
163.0,0.73,very good,f,si1,39261.0,0.85,61.7,60.0,2771.0,5.79,5.82,3.58
164.0,0.71,ideal,g,vs2,37790.0,0.68,61.9,57.0,2771.0,5.73,5.77,3.56
165.0,0.79,ideal,f,si2,35497.0,4.91,61.9,55.0,2771.0,5.97,5.92,3.68
166.0,0.73,very good,h,vvs1,37153.0,3.54,60.4,59.0,2772.0,5.83,5.89,3.54
167.0,0.8,very good,f,si2,32959.0,2.71,61.0,57.0,2772.0,6.01,6.03,3.67
168.0,0.58,ideal,g,vvs1,45184.0,2.49,61.5,55.0,2772.0,5.39,5.44,3.33
169.0,0.58,ideal,f,vvs1,33338.0,4.18,61.7,56.0,2772.0,5.33,5.37,3.3
170.0,0.71,good,e,vs2,48071.0,1.36,59.2,61.0,2772.0,5.8,5.88,3.46
171.0,0.8,ideal,g,si2,42466.0,4.68,61.3,57.46,3933.02,5.73,5.89,3.54
172.0,0.7,premium,d,vs2,36684.0,3.12,61.75,62.0,2773.0,5.87,5.78,3.38
173.0,1.17,very good,j,i1,34963.0,3.72,60.2,61.0,2774.0,6.83,6.9,4.13
174.0,0.6,ideal,e,vs1,34288.0,4.42,61.7,55.0,2774.0,5.41,5.44,3.35
175.0,0.7,ideal,e,si1,41333.0,4.41,62.7,55.0,2774.0,5.68,5.74,3.58
176.0,0.83,good,i,vs2,33463.0,2.52,64.6,54.0,2774.0,5.85,5.88,3.79
177.0,0.74,very good,f,vs2,43737.0,1.42,61.3,61.0,2775.0,5.8,5.84,3.57
178.0,0.72,very good,g,vs2,43601.0,4.04,63.7,56.4,2776.0,5.62,5.69,3.61
179.0,0.71,premium,e,vs2,45462.0,3.54,62.7,58.0,2776.0,5.74,5.68,3.58
180.0,0.8,ideal,g,vs2,32007.0,1.51,61.75,57.46,2776.0,5.73,5.62,3.55
181.0,0.54,ideal,e,vvs2,48245.0,2.47,61.75,56.0,3933.02,5.73,5.27,3.24
26979.73,0.8,ideal,g,vvs2,39573.0,4.77,61.5,57.46,2776.0,5.73,5.73,3.54
183.0,0.72,ideal,g,si1,30116.0,3.02,61.8,56.0,2776.0,5.72,5.75,3.55
184.0,0.72,ideal,g,si1,43334.0,3.94,60.7,56.0,2776.0,5.79,5.82,3.53
185.0,0.72,good,g,vs2,35522.0,2.58,59.7,60.5,2776.0,5.8,5.84,3.47
186.0,0.71,ideal,g,si1,40510.0,1.31,60.5,56.0,2776.0,5.8,5.76,3.5
187.0,0.7,very good,d,vs1,36156.0,2.76,62.7,58.0,2777.0,5.66,5.73,3.57
26979.73,0.8,ideal,g,vs2,38486.0,3.05,62.1,58.0,2777.0,5.73,5.73,3.54
189.0,0.71,very good,f,vs2,45718.0,3.69,62.8,57.0,2777.0,5.64,5.69,3.56
190.0,0.71,good,f,vs2,33483.0,4.99,63.8,58.0,2777.0,5.61,5.64,3.59
191.0,0.71,good,f,vs2,43631.0,3.89,61.75,60.0,2777.0,5.87,5.9,3.4
192.0,0.7,ideal,e,vs2,38678.0,1.49,62.1,55.0,2777.0,5.7,5.67,3.53
193.0,0.7,premium,e,vs2,41785.0,4.59,61.1,60.0,2777.0,5.71,5.64,3.47
194.0,0.7,premium,e,si1,41473.0,4.36,60.0,59.0,2777.0,5.79,5.75,3.46
195.0,0.7,premium,e,si1,48452.0,3.69,61.2,57.0,2777.0,5.73,5.68,3.49
196.0,0.7,premium,e,si1,41560.0,2.54,62.7,59.0,2777.0,5.67,5.63,3.54
197.0,0.7,premium,e,si1,47860.0,1.95,61.0,57.0,2777.0,5.73,5.68,3.48
198.0,0.7,premium,e,si1,48249.0,2.28,61.0,58.0,2777.0,5.78,5.72,3.51
199.0,0.7,ideal,e,si1,34177.0,4.34,61.4,57.0,2777.0,5.76,5.7,3.52
26979.73,0.8,ideal,f,si1,44588.0,4.99,61.8,57.46,2777.0,5.82,5.73,3.56
201.0,0.7,very good,e,si1,34067.0,3.38,59.9,63.0,2777.0,5.76,5.7,3.43
202.0,0.7,ideal,g,si1,43576.0,4.71,61.3,57.46,2777.0,5.73,5.68,3.54
203.0,0.7,premium,e,si1,33873.0,4.8,60.5,58.0,2777.0,5.77,5.74,3.48
204.0,0.7,good,e,vs2,37272.0,4.9,64.1,59.0,2777.0,5.64,5.59,3.6
205.0,0.98,fair,h,si2,42462.0,5.03,61.75,60.0,2777.0,6.05,5.97,4.08
206.0,0.78,premium,f,si1,30925.0,4.76,62.4,58.0,2777.0,5.83,5.8,3.63
207.0,0.7,very good,e,si1,41870.0,1.6,63.2,60.0,2777.0,5.6,5.51,3.51
208.0,0.52,ideal,f,vvs1,36778.0,5.08,61.3,55.0,2778.0,5.19,5.22,3.19
209.0,0.73,very good,h,vs2,47415.0,2.9,60.8,56.0,2779.0,5.82,5.84,3.55
210.0,0.74,ideal,e,si1,43013.0,1.1,61.7,56.0,2779.0,5.84,5.8,3.59
211.0,0.7,very good,f,vs2,43000.0,4.06,63.6,57.0,2780.0,5.61,5.65,3.58
212.0,0.77,premium,g,vs2,30675.0,1.32,61.2,58.0,2780.0,5.9,5.93,3.62
213.0,0.71,ideal,f,vs2,32402.0,4.05,62.1,54.0,2780.0,5.68,5.72,3.54
214.0,0.74,ideal,g,vs1,44630.0,2.34,61.5,55.0,2780.0,5.81,5.86,3.59
215.0,0.7,ideal,g,vs1,33311.0,0.94,61.4,59.0,2780.0,5.64,5.73,3.49
26979.73,1.01,ideal,f,i1,41208.0,2.86,61.8,57.46,2781.0,6.39,6.36,3.54
217.0,0.77,ideal,h,si1,33671.0,1.21,62.2,56.0,2781.0,5.83,5.88,3.64
218.0,0.78,ideal,g,si1,36917.0,2.46,61.2,56.0,3933.02,5.92,5.73,3.64
219.0,0.72,very good,h,vs1,36603.0,4.37,60.6,63.0,2782.0,5.83,5.76,3.51
220.0,0.53,very good,d,vvs2,30552.0,4.45,61.75,57.46,2782.0,5.34,5.37,3.08
221.0,0.76,ideal,g,vs2,32819.0,0.72,61.3,56.0,2782.0,5.9,5.94,3.63
222.0,0.7,good,e,vs1,39086.0,5.14,61.75,62.0,2782.0,5.81,5.77,3.31
223.0,0.7,premium,e,vs1,34644.0,4.22,62.9,60.0,2782.0,5.62,5.54,3.51
224.0,0.75,very good,d,si2,35726.0,2.94,63.1,58.0,2782.0,5.78,5.73,3.63
225.0,0.72,ideal,d,si1,45966.0,4.1,60.8,57.0,2782.0,5.76,5.75,3.5
226.0,0.72,premium,d,si1,43595.0,2.92,62.7,59.0,2782.0,5.73,5.69,3.58
26979.73,0.8,premium,d,si1,32985.0,2.89,62.8,57.46,3933.02,5.68,5.73,3.54
228.0,0.8,fair,g,si1,32759.0,2.12,61.75,57.46,2782.0,5.73,6.2,3.54
229.0,0.75,premium,f,si1,39399.0,5.02,61.4,59.0,2782.0,5.88,5.85,3.6
230.0,0.52,ideal,f,if,39959.0,0.86,62.2,55.0,2783.0,5.14,5.18,3.21
231.0,0.72,very good,f,vs2,44382.0,4.16,63.0,54.0,2784.0,5.69,5.73,3.6
232.0,0.79,very good,h,vs1,34615.0,1.84,63.7,56.0,2784.0,5.85,5.92,3.75
233.0,0.72,very good,f,vs2,47808.0,1.31,63.6,58.0,2787.0,5.66,5.69,3.61
234.0,0.51,ideal,f,vvs1,41995.0,3.4,62.0,57.0,2787.0,5.11,5.15,3.18
235.0,0.64,ideal,d,vs1,35437.0,0.9,61.5,56.0,2787.0,5.54,5.55,3.41
236.0,0.7,very good,h,vvs1,45228.0,4.02,60.5,60.0,2788.0,5.74,5.77,3.48
237.0,0.83,very good,i,vs1,34964.0,5.09,61.1,60.0,2788.0,6.07,6.1,3.72
238.0,0.76,ideal,i,vvs2,31887.0,4.33,61.8,56.0,2788.0,5.85,5.87,3.62
239.0,0.71,good,d,vs2,41975.0,3.82,63.3,56.0,2788.0,5.64,5.68,3.58
240.0,0.77,good,g,vs1,44656.0,2.84,59.4,57.46,2788.0,5.97,5.92,3.53
241.0,0.71,ideal,f,si1,31644.0,0.72,62.5,55.0,2788.0,5.71,5.65,3.55
242.0,1.01,fair,e,i1,42120.0,3.59,64.5,58.0,2788.0,6.29,6.21,4.03
243.0,1.01,premium,h,si2,40670.0,1.73,62.7,59.0,2788.0,6.31,6.22,3.93
244.0,0.77,good,f,si1,39020.0,2.05,64.2,52.0,2789.0,5.81,5.77,3.72
245.0,0.76,good,e,si1,44033.0,3.25,63.7,54.0,2789.0,5.76,5.85,3.7
246.0,0.76,premium,e,si1,31719.0,1.66,60.4,58.0,2789.0,5.92,5.94,3.58
247.0,0.76,premium,e,si1,36294.0,1.91,61.8,58.0,2789.0,5.82,5.86,3.61
248.0,1.05,very good,j,si2,48569.0,4.75,63.2,56.0,2789.0,6.49,6.45,4.09
249.0,0.81,ideal,g,si2,48154.0,4.5,61.6,56.0,2789.0,5.97,6.01,3.69
250.0,0.7,ideal,e,si1,37767.0,2.92,61.6,56.0,2789.0,5.72,5.75,3.53
251.0,0.55,ideal,g,if,46327.0,4.95,60.9,57.0,2789.0,5.28,5.3,3.22
252.0,0.81,good,g,si2,43019.0,3.34,61.0,61.0,2789.0,5.94,5.99,3.64
253.0,0.63,premium,e,vvs2,44585.0,1.41,62.1,57.0,2789.0,5.48,5.41,3.38
254.0,0.63,premium,e,vvs1,31751.0,4.37,60.9,60.0,2789.0,5.55,5.52,3.37
255.0,0.77,premium,h,vs1,33858.0,2.1,61.3,60.0,2789.0,5.9,5.88,3.61
256.0,1.05,fair,j,si2,41751.0,4.45,61.75,59.0,2789.0,6.41,6.27,4.18
257.0,0.64,ideal,g,if,44417.0,1.95,61.3,56.0,2790.0,5.54,5.58,3.41
258.0,0.76,premium,i,vvs1,33770.0,0.81,61.75,59.0,2790.0,6.0,5.94,3.51
259.0,0.83,ideal,g,si1,46238.0,3.74,61.75,57.46,2790.0,5.73,6.05,3.76
260.0,0.71,premium,f,vs1,39713.0,2.71,60.1,62.0,2790.0,5.77,5.74,3.46
261.0,0.71,premium,f,vs1,43783.0,5.12,61.8,59.0,2790.0,5.73,5.69,3.53
262.0,0.87,very good,i,si1,44023.0,3.06,63.6,55.8,2791.0,6.07,6.1,3.87
263.0,0.73,ideal,e,si1,33260.0,4.22,62.2,56.0,2791.0,5.74,5.78,3.58
264.0,0.71,premium,g,si1,40616.0,1.72,59.2,59.0,2792.0,5.73,5.86,3.54
265.0,0.71,premium,e,si1,48691.0,4.33,61.8,59.0,2792.0,5.7,5.75,3.54
26979.73,0.8,ideal,e,si1,44562.0,2.96,61.75,55.0,3933.02,5.72,5.77,3.54
267.0,0.7,premium,f,vs1,46010.0,1.0,62.1,60.0,2792.0,5.71,5.65,3.53
268.0,0.7,premium,f,vs1,39151.0,1.25,60.7,60.0,2792.0,5.78,5.75,3.5
269.0,0.76,premium,h,vvs2,35821.0,1.09,59.6,57.0,2792.0,5.91,5.86,3.51
26979.73,0.8,ideal,f,si1,45300.0,2.83,61.75,56.0,3933.02,5.73,5.68,3.55
271.0,0.79,very good,g,si1,31606.0,3.85,60.6,57.46,2793.0,5.73,6.06,3.54
272.0,0.7,very good,e,vs2,44639.0,1.74,62.9,57.0,2793.0,5.66,5.69,3.57
273.0,0.7,good,e,vs2,41982.0,2.64,64.1,55.0,2793.0,5.6,5.66,3.61
26979.73,0.8,ideal,g,vs2,41812.0,4.93,61.75,57.46,2793.0,5.87,5.91,3.54
