Unnamed: 0,carat,cut,color,clarity,depth,table,price,x,y,cut_numeric,clarity_numeric
36.0,0.23,good,f,vs1,61.75,59.0,402.0,4.06,4.08,1,4
37.0,0.23,good,e,vs1,64.1,59.0,402.0,3.83,3.85,1,4
38.0,0.31,good,h,si1,64.0,54.0,402.0,4.29,4.31,1,2
39.0,0.26,very good,d,vs2,60.8,59.0,403.0,4.13,4.16,4,5
40.0,0.33,ideal,i,si2,61.8,55.0,403.0,4.49,4.51,2,3
41.0,0.33,ideal,i,si2,61.2,56.0,403.0,4.49,4.5,2,3
42.0,0.33,ideal,j,si1,61.1,56.0,403.0,4.49,4.55,2,2
43.0,0.26,good,d,vs2,61.75,56.0,403.0,3.99,4.02,1,5
44.0,0.26,good,d,vs1,61.75,63.0,403.0,4.19,4.24,1,4
45.0,0.32,good,h,si2,63.1,56.0,403.0,4.34,4.37,1,3
46.0,0.8,premium,g,si1,61.75,58.0,3933.02,4.24,4.26,3,2
47.0,0.32,very good,h,si2,61.8,55.0,403.0,4.35,4.42,4,3
48.0,0.32,good,h,si2,63.8,56.0,403.0,4.36,4.38,1,3
49.0,0.25,very good,e,vs2,63.3,60.0,404.0,4.0,4.03,4,5
50.0,0.29,very good,h,si2,60.7,60.0,404.0,4.33,4.37,4,3
51.0,0.8,ideal,g,si1,61.75,61.0,404.0,5.73,4.03,2,2
52.0,0.23,ideal,g,vs1,61.9,54.0,404.0,3.93,3.95,2,4
53.0,0.32,ideal,i,si1,60.9,55.0,404.0,4.45,4.48,2,2
54.0,0.22,premium,e,vs2,61.6,58.0,404.0,3.93,3.89,3,5
55.0,0.22,premium,d,vs2,59.3,62.0,404.0,3.91,3.88,3,5
56.0,0.3,ideal,i,si2,61.0,59.0,405.0,4.3,4.33,2,3
57.0,0.3,premium,j,si2,59.3,61.0,405.0,4.43,4.38,3,3
58.0,0.3,very good,i,si1,62.6,57.0,405.0,4.25,4.28,4,2
59.0,0.3,very good,i,si1,63.0,57.0,405.0,4.28,4.32,4,2
60.0,0.3,good,i,si1,63.2,55.0,405.0,4.25,4.29,1,2
61.0,0.35,ideal,i,vs1,60.9,57.0,552.0,4.54,4.59,2,4
26979.73,0.8,premium,g,si1,61.75,59.0,552.0,4.23,4.27,3,2
63.0,0.3,ideal,d,si1,62.5,57.0,552.0,4.29,4.32,2,2
64.0,0.3,ideal,d,si1,62.1,56.0,552.0,4.3,4.33,2,2
65.0,0.42,premium,i,si2,61.5,59.0,552.0,4.78,4.84,3,3
66.0,0.28,ideal,g,vvs2,61.4,56.0,553.0,4.19,4.22,2,7
67.0,0.32,ideal,i,vvs1,62.0,55.3,553.0,4.39,4.42,2,6
68.0,0.31,very good,g,si1,63.3,57.0,553.0,4.33,4.3,4,2
69.0,0.31,premium,g,si1,61.8,58.0,553.0,4.35,4.32,3,2
70.0,0.24,premium,e,vvs1,60.7,58.0,553.0,4.01,4.03,3,6
26979.73,0.8,ideal,g,vvs1,61.75,57.46,3933.02,5.73,5.73,2,6
72.0,0.3,very good,h,si1,63.1,56.0,554.0,4.29,4.27,4,2
73.0,0.3,premium,h,si1,62.9,59.0,554.0,4.28,4.24,3,2
74.0,0.3,premium,h,si1,62.5,57.0,554.0,4.29,4.25,3,2
75.0,0.3,good,h,si1,63.7,57.0,554.0,4.28,4.26,1,2
76.0,0.26,very good,f,vvs2,59.2,60.0,554.0,4.19,4.22,4,7
77.0,0.26,very good,e,vvs2,59.9,58.0,554.0,4.15,4.23,4,7
78.0,0.26,very good,d,vvs2,62.4,54.0,554.0,4.08,4.13,4,7
79.0,0.26,very good,d,vvs2,62.8,60.0,554.0,4.01,4.05,4,7
80.0,0.26,very good,e,vvs1,62.6,59.0,554.0,4.06,4.09,4,6
81.0,0.26,very good,e,vvs1,63.4,59.0,554.0,4.0,4.04,4,6
82.0,0.26,very good,d,vvs1,62.1,60.0,554.0,4.03,4.12,4,6
83.0,0.26,ideal,e,vvs2,62.9,58.0,554.0,4.02,4.06,2,7
84.0,0.38,ideal,i,si2,61.6,56.0,554.0,4.65,4.67,2,3
85.0,0.26,good,e,vvs1,61.75,60.0,554.0,4.22,4.25,1,6
86.0,0.24,premium,g,vvs1,62.3,59.0,554.0,3.95,3.92,3,6
87.0,0.24,premium,h,vvs1,61.2,58.0,554.0,4.01,3.96,3,6
88.0,0.24,premium,h,vvs1,60.8,59.0,554.0,4.02,4.0,3,6
89.0,0.24,premium,h,vvs2,60.7,58.0,554.0,4.07,4.04,3,7
90.0,0.32,premium,i,si1,62.9,58.0,554.0,4.35,4.33,3,2
91.0,0.7,ideal,e,si1,62.5,57.0,2757.0,5.7,5.72,2,2
92.0,0.86,fair,e,si2,61.75,57.46,2757.0,6.45,6.33,0,3
93.0,0.7,ideal,g,vs2,61.6,56.0,2757.0,5.7,5.67,2,5
94.0,0.71,very good,e,vs2,62.4,57.0,2759.0,5.68,5.73,4,5
95.0,0.78,very good,g,si2,63.8,56.0,2759.0,5.81,5.85,4,3
96.0,0.7,good,e,vs2,61.75,58.0,2759.0,5.85,5.9,1,5
97.0,0.7,good,f,vs1,59.4,62.0,2759.0,5.71,5.76,1,4
26979.73,0.8,fair,f,si1,61.75,57.46,2759.0,5.73,5.73,0,2
99.0,0.8,ideal,e,si1,61.6,59.0,3933.02,5.77,5.73,2,2
100.0,0.8,premium,h,si1,61.5,58.0,2760.0,5.97,5.93,3,2
101.0,0.75,very good,d,si1,63.2,56.0,2760.0,5.8,5.75,4,2
102.0,0.75,premium,e,si1,59.9,54.0,2760.0,6.0,5.96,3,2
103.0,0.74,ideal,g,si1,61.6,55.0,2760.0,5.8,5.85,2,2
104.0,0.75,premium,g,vs2,61.7,58.0,2760.0,5.85,5.79,3,5
105.0,0.8,ideal,i,vs1,62.9,56.0,2760.0,5.94,5.87,2,4
106.0,0.75,ideal,g,si1,62.2,55.0,2760.0,5.87,5.8,2,2
107.0,0.8,premium,g,si1,63.0,59.0,2760.0,5.9,5.81,3,2
108.0,0.74,ideal,i,vvs2,62.3,55.0,2761.0,5.77,5.81,2,7
109.0,0.81,ideal,f,si2,61.75,57.0,2761.0,6.14,6.11,2,3
110.0,0.59,ideal,e,vvs2,62.0,55.0,2761.0,5.38,5.43,2,7
111.0,0.8,ideal,f,si2,61.4,57.0,2761.0,5.96,6.0,2,3
112.0,0.74,ideal,e,si2,62.2,56.0,2761.0,5.8,5.84,2,3
113.0,0.9,premium,i,vs2,63.0,58.0,2761.0,6.16,6.12,3,5
114.0,0.74,very good,g,si1,62.2,59.0,2762.0,5.73,5.82,4,2
115.0,0.73,ideal,f,vs2,62.6,56.0,2762.0,5.77,5.74,2,5
116.0,0.8,ideal,f,vs2,62.7,57.46,2762.0,5.73,5.75,2,5
117.0,0.8,premium,f,si2,61.7,58.0,2762.0,5.98,5.94,3,3
118.0,0.8,ideal,g,si1,62.4,54.0,3933.02,5.73,5.73,2,2
119.0,0.7,ideal,e,vs2,60.7,58.0,2762.0,5.73,5.76,2,5
120.0,0.8,ideal,f,si2,59.9,59.0,2762.0,6.01,6.07,2,3
121.0,0.71,ideal,d,si2,62.3,56.0,2762.0,5.73,5.69,2,3
26979.73,0.8,ideal,g,si1,61.75,54.0,2762.0,5.73,5.83,2,2
123.0,0.7,very good,f,vs2,61.7,63.0,2762.0,5.64,5.61,4,5
124.0,0.7,fair,f,vs2,64.5,57.0,2762.0,5.57,5.53,0,5
125.0,0.7,fair,f,vs2,61.75,55.0,2762.0,5.63,5.58,0,5
126.0,0.7,premium,f,vs2,61.6,60.0,2762.0,5.65,5.59,3,5
127.0,0.91,premium,h,si1,61.4,56.0,2763.0,6.09,5.97,3,2
128.0,0.61,very good,d,vvs2,59.6,57.0,2763.0,5.56,5.58,4,7
129.0,0.91,fair,h,si2,64.4,57.0,2763.0,6.11,6.09,0,3
130.0,0.8,ideal,h,si2,61.75,60.0,3933.02,5.73,5.99,2,3
26979.73,0.8,ideal,g,vs2,62.0,56.0,2763.0,5.73,5.86,2,5
132.0,0.71,very good,d,si1,63.6,58.0,2764.0,5.64,5.68,4,2
133.0,0.71,ideal,d,si1,61.9,59.0,2764.0,5.69,5.72,2,2
134.0,0.7,very good,e,vs2,62.6,60.0,2765.0,5.62,5.65,4,5
135.0,0.77,very good,h,vs1,61.3,60.0,2765.0,5.88,5.9,4,4
136.0,0.63,ideal,g,vvs1,61.75,57.46,2765.0,5.52,5.55,2,6
137.0,0.71,very good,f,vs1,60.1,62.0,2765.0,5.74,5.77,4,4
138.0,0.71,premium,f,vs1,61.8,59.0,2765.0,5.69,5.73,3,4
139.0,0.76,ideal,h,si1,61.2,57.0,2765.0,5.88,5.91,2,2
140.0,0.64,ideal,g,vvs1,61.9,56.0,2766.0,5.53,5.56,2,6
141.0,0.71,premium,g,vs2,60.9,57.0,2766.0,5.78,5.75,3,5
142.0,0.71,premium,g,vs2,59.8,56.0,2766.0,5.89,5.81,3,5
143.0,0.7,very good,d,vs2,61.8,55.0,2767.0,5.68,5.72,4,5
144.0,0.7,very good,f,vs1,60.0,57.0,2767.0,5.8,5.87,4,4
145.0,0.71,ideal,d,si2,61.6,55.0,2767.0,5.74,5.76,2,3
146.0,0.7,good,h,vvs2,62.1,57.46,2767.0,5.62,5.65,1,7
147.0,0.71,very good,g,vs1,63.3,59.0,2768.0,5.52,5.61,4,4
148.0,0.73,very good,d,si1,60.2,56.0,2768.0,5.83,5.87,4,2
149.0,0.7,very good,d,si1,61.1,58.0,2768.0,5.66,5.73,4,2
150.0,0.7,ideal,e,si1,60.9,57.0,2768.0,5.73,5.76,2,2
151.0,0.71,premium,d,si2,61.7,59.0,2768.0,5.71,5.67,3,3
152.0,0.74,ideal,i,si1,61.3,56.0,2769.0,5.82,5.86,2,2
153.0,0.71,premium,d,vs2,62.5,60.0,2770.0,5.65,5.61,3,5
154.0,0.73,premium,g,vs2,61.4,59.0,2770.0,5.83,5.76,3,5
155.0,0.76,very good,f,si1,62.9,57.0,2770.0,5.79,5.81,4,2
156.0,0.76,ideal,d,si2,62.4,57.0,2770.0,5.78,5.83,2,3
157.0,0.71,ideal,f,si1,60.7,56.0,2770.0,5.77,5.8,2,2
158.0,0.73,premium,g,vs2,60.7,58.0,2770.0,5.87,5.82,3,5
159.0,0.73,premium,g,vs1,61.5,58.0,2770.0,5.79,5.75,3,4
160.0,0.73,ideal,d,si2,59.9,57.0,2770.0,5.92,5.89,2,3
161.0,0.73,premium,g,vs2,59.2,59.0,2770.0,5.92,5.87,3,5
162.0,0.72,very good,h,vvs2,60.3,56.0,2771.0,5.81,5.83,4,7
163.0,0.73,very good,f,si1,61.7,60.0,2771.0,5.79,5.82,4,2
164.0,0.71,ideal,g,vs2,61.9,57.0,2771.0,5.73,5.77,2,5
165.0,0.79,ideal,f,si2,61.9,55.0,2771.0,5.97,5.92,2,3
166.0,0.73,very good,h,vvs1,60.4,59.0,2772.0,5.83,5.89,4,6
167.0,0.8,very good,f,si2,61.0,57.0,2772.0,6.01,6.03,4,3
168.0,0.58,ideal,g,vvs1,61.5,55.0,2772.0,5.39,5.44,2,6
169.0,0.58,ideal,f,vvs1,61.7,56.0,2772.0,5.33,5.37,2,6
170.0,0.71,good,e,vs2,59.2,61.0,2772.0,5.8,5.88,1,5
171.0,0.8,ideal,g,si2,61.3,57.46,3933.02,5.73,5.89,2,3
172.0,0.7,premium,d,vs2,61.75,62.0,2773.0,5.87,5.78,3,5
173.0,1.17,very good,j,i1,60.2,61.0,2774.0,6.83,6.9,4,0
174.0,0.6,ideal,e,vs1,61.7,55.0,2774.0,5.41,5.44,2,4
175.0,0.7,ideal,e,si1,62.7,55.0,2774.0,5.68,5.74,2,2
176.0,0.83,good,i,vs2,64.6,54.0,2774.0,5.85,5.88,1,5
177.0,0.74,very good,f,vs2,61.3,61.0,2775.0,5.8,5.84,4,5
178.0,0.72,very good,g,vs2,63.7,56.4,2776.0,5.62,5.69,4,5
179.0,0.71,premium,e,vs2,62.7,58.0,2776.0,5.74,5.68,3,5
180.0,0.8,ideal,g,vs2,61.75,57.46,2776.0,5.73,5.62,2,5
181.0,0.54,ideal,e,vvs2,61.75,56.0,3933.02,5.73,5.27,2,7
26979.73,0.8,ideal,g,vvs2,61.5,57.46,2776.0,5.73,5.73,2,7
183.0,0.72,ideal,g,si1,61.8,56.0,2776.0,5.72,5.75,2,2
184.0,0.72,ideal,g,si1,60.7,56.0,2776.0,5.79,5.82,2,2
185.0,0.72,good,g,vs2,59.7,60.5,2776.0,5.8,5.84,1,5
186.0,0.71,ideal,g,si1,60.5,56.0,2776.0,5.8,5.76,2,2
187.0,0.7,very good,d,vs1,62.7,58.0,2777.0,5.66,5.73,4,4
26979.73,0.8,ideal,g,vs2,62.1,58.0,2777.0,5.73,5.73,2,5
189.0,0.71,very good,f,vs2,62.8,57.0,2777.0,5.64,5.69,4,5
190.0,0.71,good,f,vs2,63.8,58.0,2777.0,5.61,5.64,1,5
191.0,0.71,good,f,vs2,61.75,60.0,2777.0,5.87,5.9,1,5
192.0,0.7,ideal,e,vs2,62.1,55.0,2777.0,5.7,5.67,2,5
193.0,0.7,premium,e,vs2,61.1,60.0,2777.0,5.71,5.64,3,5
194.0,0.7,premium,e,si1,60.0,59.0,2777.0,5.79,5.75,3,2
195.0,0.7,premium,e,si1,61.2,57.0,2777.0,5.73,5.68,3,2
196.0,0.7,premium,e,si1,62.7,59.0,2777.0,5.67,5.63,3,2
197.0,0.7,premium,e,si1,61.0,57.0,2777.0,5.73,5.68,3,2
198.0,0.7,premium,e,si1,61.0,58.0,2777.0,5.78,5.72,3,2
199.0,0.7,ideal,e,si1,61.4,57.0,2777.0,5.76,5.7,2,2
26979.73,0.8,ideal,f,si1,61.8,57.46,2777.0,5.82,5.73,2,2
201.0,0.7,very good,e,si1,59.9,63.0,2777.0,5.76,5.7,4,2
202.0,0.7,ideal,g,si1,61.3,57.46,2777.0,5.73,5.68,2,2
203.0,0.7,premium,e,si1,60.5,58.0,2777.0,5.77,5.74,3,2
204.0,0.7,good,e,vs2,64.1,59.0,2777.0,5.64,5.59,1,5
205.0,0.98,fair,h,si2,61.75,60.0,2777.0,6.05,5.97,0,3
206.0,0.78,premium,f,si1,62.4,58.0,2777.0,5.83,5.8,3,2
207.0,0.7,very good,e,si1,63.2,60.0,2777.0,5.6,5.51,4,2
208.0,0.52,ideal,f,vvs1,61.3,55.0,2778.0,5.19,5.22,2,6
209.0,0.73,very good,h,vs2,60.8,56.0,2779.0,5.82,5.84,4,5
210.0,0.74,ideal,e,si1,61.7,56.0,2779.0,5.84,5.8,2,2
211.0,0.7,very good,f,vs2,63.6,57.0,2780.0,5.61,5.65,4,5
212.0,0.77,premium,g,vs2,61.2,58.0,2780.0,5.9,5.93,3,5
213.0,0.71,ideal,f,vs2,62.1,54.0,2780.0,5.68,5.72,2,5
214.0,0.74,ideal,g,vs1,61.5,55.0,2780.0,5.81,5.86,2,4
215.0,0.7,ideal,g,vs1,61.4,59.0,2780.0,5.64,5.73,2,4
26979.73,1.01,ideal,f,i1,61.8,57.46,2781.0,6.39,6.36,2,0
217.0,0.77,ideal,h,si1,62.2,56.0,2781.0,5.83,5.88,2,2
218.0,0.78,ideal,g,si1,61.2,56.0,3933.02,5.92,5.73,2,2
219.0,0.72,very good,h,vs1,60.6,63.0,2782.0,5.83,5.76,4,4
220.0,0.53,very good,d,vvs2,61.75,57.46,2782.0,5.34,5.37,4,7
221.0,0.76,ideal,g,vs2,61.3,56.0,2782.0,5.9,5.94,2,5
222.0,0.7,good,e,vs1,61.75,62.0,2782.0,5.81,5.77,1,4
223.0,0.7,premium,e,vs1,62.9,60.0,2782.0,5.62,5.54,3,4
224.0,0.75,very good,d,si2,63.1,58.0,2782.0,5.78,5.73,4,3
225.0,0.72,ideal,d,si1,60.8,57.0,2782.0,5.76,5.75,2,2
226.0,0.72,premium,d,si1,62.7,59.0,2782.0,5.73,5.69,3,2
26979.73,0.8,premium,d,si1,62.8,57.46,3933.02,5.68,5.73,3,2
228.0,0.8,fair,g,si1,61.75,57.46,2782.0,5.73,6.2,0,2
229.0,0.75,premium,f,si1,61.4,59.0,2782.0,5.88,5.85,3,2
230.0,0.52,ideal,f,if,62.2,55.0,2783.0,5.14,5.18,2,1
231.0,0.72,very good,f,vs2,63.0,54.0,2784.0,5.69,5.73,4,5
232.0,0.79,very good,h,vs1,63.7,56.0,2784.0,5.85,5.92,4,4
233.0,0.72,very good,f,vs2,63.6,58.0,2787.0,5.66,5.69,4,5
234.0,0.51,ideal,f,vvs1,62.0,57.0,2787.0,5.11,5.15,2,6
235.0,0.64,ideal,d,vs1,61.5,56.0,2787.0,5.54,5.55,2,4
236.0,0.7,very good,h,vvs1,60.5,60.0,2788.0,5.74,5.77,4,6
237.0,0.83,very good,i,vs1,61.1,60.0,2788.0,6.07,6.1,4,4
238.0,0.76,ideal,i,vvs2,61.8,56.0,2788.0,5.85,5.87,2,7
239.0,0.71,good,d,vs2,63.3,56.0,2788.0,5.64,5.68,1,5
240.0,0.77,good,g,vs1,59.4,57.46,2788.0,5.97,5.92,1,4
241.0,0.71,ideal,f,si1,62.5,55.0,2788.0,5.71,5.65,2,2
242.0,1.01,fair,e,i1,64.5,58.0,2788.0,6.29,6.21,0,0
243.0,1.01,premium,h,si2,62.7,59.0,2788.0,6.31,6.22,3,3
244.0,0.77,good,f,si1,64.2,52.0,2789.0,5.81,5.77,1,2
245.0,0.76,good,e,si1,63.7,54.0,2789.0,5.76,5.85,1,2
246.0,0.76,premium,e,si1,60.4,58.0,2789.0,5.92,5.94,3,2
247.0,0.76,premium,e,si1,61.8,58.0,2789.0,5.82,5.86,3,2
248.0,1.05,very good,j,si2,63.2,56.0,2789.0,6.49,6.45,4,3
249.0,0.81,ideal,g,si2,61.6,56.0,2789.0,5.97,6.01,2,3
250.0,0.7,ideal,e,si1,61.6,56.0,2789.0,5.72,5.75,2,2
251.0,0.55,ideal,g,if,60.9,57.0,2789.0,5.28,5.3,2,1
252.0,0.81,good,g,si2,61.0,61.0,2789.0,5.94,5.99,1,3
253.0,0.63,premium,e,vvs2,62.1,57.0,2789.0,5.48,5.41,3,7
254.0,0.63,premium,e,vvs1,60.9,60.0,2789.0,5.55,5.52,3,6
255.0,0.77,premium,h,vs1,61.3,60.0,2789.0,5.9,5.88,3,4
256.0,1.05,fair,j,si2,61.75,59.0,2789.0,6.41,6.27,0,3
257.0,0.64,ideal,g,if,61.3,56.0,2790.0,5.54,5.58,2,1
258.0,0.76,premium,i,vvs1,61.75,59.0,2790.0,6.0,5.94,3,6
259.0,0.83,ideal,g,si1,61.75,57.46,2790.0,5.73,6.05,2,2
260.0,0.71,premium,f,vs1,60.1,62.0,2790.0,5.77,5.74,3,4
261.0,0.71,premium,f,vs1,61.8,59.0,2790.0,5.73,5.69,3,4
262.0,0.87,very good,i,si1,63.6,55.8,2791.0,6.07,6.1,4,2
263.0,0.73,ideal,e,si1,62.2,56.0,2791.0,5.74,5.78,2,2
264.0,0.71,premium,g,si1,59.2,59.0,2792.0,5.73,5.86,3,2
265.0,0.71,premium,e,si1,61.8,59.0,2792.0,5.7,5.75,3,2
26979.73,0.8,ideal,e,si1,61.75,55.0,3933.02,5.72,5.77,2,2
267.0,0.7,premium,f,vs1,62.1,60.0,2792.0,5.71,5.65,3,4
268.0,0.7,premium,f,vs1,60.7,60.0,2792.0,5.78,5.75,3,4
269.0,0.76,premium,h,vvs2,59.6,57.0,2792.0,5.91,5.86,3,7
26979.73,0.8,ideal,f,si1,61.75,56.0,3933.02,5.73,5.68,2,2
271.0,0.79,very good,g,si1,60.6,57.46,2793.0,5.73,6.06,4,2
272.0,0.7,very good,e,vs2,62.9,57.0,2793.0,5.66,5.69,4,5
273.0,0.7,good,e,vs2,64.1,55.0,2793.0,5.6,5.66,1,5
26979.73,0.8,ideal,g,vs2,61.75,57.46,2793.0,5.87,5.91,2,5
275.0,0.73,ideal,h,vs2,62.7,55.0,2793.0,5.72,5.76,2,5
276.0,0.79,very good,e,si1,63.2,56.0,2794.0,5.91,5.86,4,2
277.0,0.71,very good,e,vs2,60.7,56.0,2795.0,5.81,5.82,4,5
278.0,0.81,premium,i,vvs2,61.9,60.0,2795.0,5.91,5.86,3,7
279.0,0.81,ideal,f,si2,62.6,55.0,2795.0,5.92,5.96,2,3
280.0,0.72,good,f,vs1,60.7,60.0,2795.0,5.74,5.72,1,4
281.0,0.72,premium,g,si2,62.0,60.0,3933.02,5.73,5.69,3,3
282.0,0.72,premium,i,if,63.0,57.0,2795.0,5.72,5.7,3,1
283.0,0.81,premium,h,vs2,61.75,59.0,2795.0,6.17,6.13,3,5
284.0,0.72,premium,g,vs2,62.9,57.0,2795.0,5.73,5.65,3,5
285.0,1.0,premium,i,si2,61.75,60.0,2795.0,6.61,6.55,3,3
286.0,0.73,good,e,si1,63.2,58.0,2796.0,5.7,5.76,1,2
26979.73,0.8,ideal,h,si1,61.3,57.46,2797.0,5.94,5.73,2,2
288.0,0.81,very good,e,si1,60.3,60.0,2797.0,6.07,6.1,4,2
289.0,0.71,premium,d,si1,62.7,60.0,2797.0,5.67,5.71,3,2
290.0,0.71,premium,d,si1,61.3,58.0,2797.0,5.73,5.75,3,2
291.0,0.71,premium,d,si1,61.6,60.0,2797.0,5.74,5.69,3,2
292.0,0.57,ideal,f,vvs2,61.9,55.0,2797.0,5.34,5.35,2,7
293.0,0.51,ideal,d,vvs1,61.7,56.0,2797.0,5.12,5.16,2,6
294.0,0.72,ideal,g,vs2,61.9,58.0,2797.0,5.72,5.75,2,5
295.0,0.74,ideal,h,vs1,61.8,58.0,2797.0,5.77,5.81,2,4
296.0,0.74,ideal,h,vs1,61.6,56.0,2797.0,5.81,5.82,2,4
297.0,0.7,fair,g,vvs1,61.75,57.46,2797.0,5.81,5.9,0,6
298.0,0.8,premium,f,si2,61.0,57.0,2797.0,6.03,6.01,3,3
299.0,1.01,fair,e,si2,61.75,60.0,2797.0,6.19,6.05,0,3
300.0,0.8,very good,h,vs2,63.4,60.0,2797.0,5.92,5.82,4,5
301.0,0.77,ideal,i,vs1,61.5,59.0,2798.0,5.87,5.91,2,4
302.0,0.8,very good,e,si1,61.75,57.46,2799.0,5.73,6.25,4,2
303.0,0.82,ideal,f,si2,62.4,54.0,2799.0,5.97,6.02,2,3
304.0,0.78,ideal,d,si1,61.9,57.0,2799.0,5.91,5.86,2,2
305.0,0.6,very good,g,if,61.6,56.0,2800.0,5.43,5.46,4,1
306.0,0.9,good,i,si2,62.2,59.0,2800.0,6.07,6.11,1,3
307.0,0.7,premium,e,vs1,62.2,58.0,2800.0,5.6,5.66,3,4
308.0,0.9,very good,i,si2,61.3,56.0,2800.0,6.17,6.23,4,3
309.0,0.83,ideal,g,si1,62.3,57.0,2800.0,5.99,6.08,2,2
310.0,0.83,ideal,g,si1,61.8,57.0,2800.0,6.03,6.07,2,2
311.0,0.83,very good,h,si1,62.5,59.0,2800.0,5.95,6.02,4,2
312.0,0.74,premium,g,vs1,62.9,60.0,2800.0,5.74,5.68,3,4
313.0,0.79,ideal,i,vs1,61.8,59.0,2800.0,5.92,5.95,2,4
314.0,0.61,ideal,g,if,62.3,56.0,2800.0,5.43,5.45,2,1
315.0,0.76,fair,g,vs1,59.0,57.46,2800.0,5.89,5.8,0,4
316.0,0.96,ideal,f,i1,60.7,55.0,2801.0,6.37,6.41,2,0
317.0,0.73,ideal,f,vs2,62.5,55.0,2801.0,5.8,5.76,2,5
318.0,0.73,premium,f,vs2,62.7,58.0,2801.0,5.76,5.7,3,5
319.0,0.75,ideal,h,si1,60.4,57.0,2801.0,5.93,5.96,2,2
320.0,0.71,premium,f,vs2,62.1,58.0,2801.0,5.7,5.67,3,5
321.0,0.71,good,f,vs2,61.75,60.0,2801.0,5.9,5.87,1,5
322.0,0.71,good,f,vs2,63.8,58.0,2801.0,5.64,5.61,1,5
323.0,0.71,premium,f,vs2,62.8,57.0,2801.0,5.69,5.64,3,5
324.0,1.04,premium,g,i1,62.2,58.0,2801.0,6.46,6.41,3,0
325.0,1.0,premium,j,si2,62.3,58.0,2801.0,6.45,6.34,3,3
326.0,0.87,very good,g,si2,59.9,58.0,2802.0,6.19,6.23,4,3
327.0,0.53,ideal,f,if,61.9,54.0,2802.0,5.22,5.25,2,1
328.0,0.72,premium,e,vs2,63.0,55.0,2802.0,5.79,5.61,3,5
329.0,0.72,premium,f,vs1,62.4,58.0,2802.0,5.83,5.7,3,4
330.0,0.7,very good,f,vs2,62.9,58.0,2803.0,5.63,5.65,4,5
331.0,0.74,very good,e,si1,63.5,56.0,2803.0,5.74,5.79,4,2
332.0,0.71,ideal,g,vs2,61.3,56.0,2803.0,5.75,5.71,2,5
333.0,0.73,ideal,g,si1,60.6,57.46,2803.0,5.84,5.89,2,2
334.0,0.7,good,g,vs1,61.75,58.0,2803.0,5.56,5.59,1,4
